topology,return_mode,tail_energy_kev,e_cm_kev,density_m3,confinement_s,volume_m3,sigma_total_m2,sigma_v_m3_s,reactions_per_s,fusion_power_w,tail_inventory_j,useful_feedback_power_w,k_loop_max,required_n_tau_m3_s,required_confinement_s
beam_target,absolute_upper,0.2,0.1,1.62e+16,2e-05,0.00010005209781081633,8.3055412600148e-69,1.1498654578841074e-63,3.0192790669068013e-35,1.76905255403306e-47,5.193756718763588e-05,1.76905255403306e-47,6.812227256012853e-48,4.756153719240934e+58,2.935897357556132e+42
beam_target,absolute_upper,1.0,0.5,1.62e+16,2e-05,0.00010005209781081633,1.1404096696146108e-45,3.530408670874557e-40,9.270031484563598e-12,5.4312189386464345e-24,0.0002596878359381794,5.4312189386464345e-24,4.182882820849088e-25,7.745854088597944e+35,4.78139141271478e+19
beam_target,absolute_upper,3.0,1.5,1.62e+16,2e-05,0.00010005209781081633,5.398501453226119e-38,2.8946625338229555e-32,0.0007600710095434414,4.452636507690823e-16,0.0007790635078145382,4.452636507690823e-16,1.1430740788210057e-17,2.834461965353824e+28,1749667879848.0396
beam_target,absolute_upper,10.0,5.0,1.62e+16,2e-05,0.00010005209781081633,1.7871395698867817e-33,1.749534700931705e-27,45.938709291000755,2.6900531954751995e-11,0.0025968783593817942,2.6900531954751995e-11,2.07175910705004e-13,1.5638883830530892e+24,96536319.94154872
beam_target,absolute_upper,30.0,15.0,1.62e+16,2e-05,0.00010005209781081633,2.3589668924185885e-31,3.999876323224232e-25,10502.744273360246,6.143337716995582e-09,0.007790635078145381,6.143337716995582e-09,1.5771083243852954e-11,2.0543928085997804e+22,1268143.7090122101
beam_target,absolute_upper,100.0,50.0,1.62e+16,2e-05,0.00010005209781081633,3.205995784849327e-30,9.924920508122578e-24,260605.31278180834,1.519656543502042e-07,0.02596878359381794,1.519656543502042e-07,1.1703717565452757e-10,2.7683511515724623e+21,170885.8735538557
head_on_equal_beams,absolute_upper,0.2,0.4,1.62e+16,2e-05,0.00010005209781081633,7.544660463011354e-48,2.0890497527587296e-42,2.7426792173745655e-14,1.6069281251350553e-26,5.193756718763588e-05,1.6069281251350553e-26,6.187922200243513e-27,5.236006360701331e+37,3.232102691790945e+21
head_on_equal_beams,absolute_upper,1.0,2.0,1.62e+16,2e-05,0.00010005209781081633,1.2588913001713606e-36,7.79439333115345e-31,0.010233131390560247,5.994394681533603e-15,0.0002596878359381794,5.994394681533603e-15,4.616615683886413e-16,7.018128044118384e+26,43321778050.11348
head_on_equal_beams,absolute_upper,3.0,6.0,1.62e+16,2e-05,0.00010005209781081633,5.085996090600125e-33,5.454195931292104e-27,71.60724539226156,4.192650013200661e-11,0.0007790635078145382,4.192650013200661e-11,1.0763307409846625e-12,3.010227132448101e+23,18581648.965729017
head_on_equal_beams,absolute_upper,10.0,20.0,1.62e+16,2e-05,0.00010005209781081633,5.361149874183095e-31,1.0496681848271288e-24,13780.921741393986,8.056719044066794e-09,0.0025968783593817942,8.056719044066794e-09,6.204926014312627e-11,5.221657748257493e+21,322324.5523615736
head_on_equal_beams,absolute_upper,30.0,60.0,1.62e+16,2e-05,0.00010005209781081633,4.08517812877215e-30,1.3853697842004046e-23,181882.93076732513,1.0598586706835346e-07,0.007790635078145381,1.0598586706835346e-07,2.7208530756541145e-10,1.190802998144646e+21,73506.35791016334
head_on_equal_beams,absolute_upper,100.0,200.0,1.62e+16,2e-05,0.00010005209781081633,1.1473040301542324e-29,7.103503598938499e-23,932607.3572745664,5.404508815081702e-07,0.02596878359381794,5.404508815081702e-07,4.162311873836313e-10,7.784135591487435e+20,48050.219700539725
